Ref,Val,Package,PosX,PosY,Rot,Side
"R75","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",150.531250,-124.227500,90.000000,top
"R76","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",152.461250,-124.232500,90.000000,top
"R85","5k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",119.350000,-97.940000,-90.000000,top
"R86","5k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",117.450000,-97.940000,-90.000000,top
"R87","5k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",123.170000,-97.940000,-90.000000,top
"R88","5k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",121.260000,-97.940000,-90.000000,top
"U5","TL431DBV","SOT-23-5",67.750000,-150.650000,180.000000,top
"U6","USBLC6-2SC6","SOT-23-6",99.790000,-137.200000,-90.000000,top
"U7","USBLC6-2SC6","SOT-23-6",73.090000,-137.100000,-90.000000,top
"U8","USBLC6-2SC6","SOT-23-6",80.300000,-150.362500,90.000000,top
"U9","USBLC6-2SC6","SOT-23-6",107.700000,-150.300000,90.000000,top
"U10","RT9742SNGV","SOT-23",95.195000,-148.800000,90.000000,top
"U11","AD7768BSTZ","LQFP-64_10x10mm_P0.5mm",122.662500,-136.400000,90.000000,top
"U12","TL431DBV","SOT-23-5",130.600000,-152.750000,180.000000,top
"U13","T8F81C2","BGA-81_5x5mm_Layout9x9_P0.5mm_Ball0.25mm_Pad0.2mm_NSMD",132.650000,-112.720000,90.000000,top
"U14","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",119.150000,-113.000000,90.000000,top
"U20","ISO7761FDBQ","SSOP-16_3.9x4.9mm_P0.635mm",159.570000,-87.147500,180.000000,top
"X1","SG-210STF","Oscillator_SMD_SeikoEpson_SG210-4Pin_2.5x2.0mm",131.200000,-121.700000,-90.000000,top
"X2","ASE-33.333MHZ-LC-T","Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm_HandSoldering",142.700000,-119.330000,0.000000,top
